event_type;key_code;key_code_readable;scan_code;alt_pressed;time
key_up;13;Return;28;False;1486742239913
key_down;65;A;30;False;1486742546088
key_down;65;A;30;False;1486742546589
key_down;65;A;30;False;1486742546622
key_down;65;A;30;False;1486742546655
key_down;65;A;30;False;1486742546688
key_down;65;A;30;False;1486742546721
key_up;65;A;30;False;1486742546744
key_down;87;W;17;False;1486742613913
key_up;87;W;17;False;1486742614024
key_down;83;S;31;False;1486742618665
key_down;83;S;31;False;1486742619164
key_down;83;S;31;False;1486742619198
key_down;83;S;31;False;1486742619230
key_down;83;S;31;False;1486742619263
key_down;83;S;31;False;1486742619297
key_down;83;S;31;False;1486742619330
key_down;83;S;31;False;1486742619363
key_down;83;S;31;False;1486742619396
key_down;83;S;31;False;1486742619428
key_down;83;S;31;False;1486742619462
key_down;83;S;31;False;1486742619495
key_down;83;S;31;False;1486742619527
key_down;83;S;31;False;1486742619561
key_down;83;S;31;False;1486742619593
key_down;83;S;31;False;1486742619626
key_down;83;S;31;False;1486742619660
key_down;83;S;31;False;1486742619693
key_down;83;S;31;False;1486742619725
key_up;83;S;31;False;1486742619740
key_down;68;D;32;False;1486742625129
key_up;68;D;32;False;1486742625176
key_down;83;S;31;False;1486742625256
key_down;83;S;31;False;1486742625757
key_down;83;S;31;False;1486742625789
key_down;83;S;31;False;1486742625822
key_down;83;S;31;False;1486742625856
key_down;83;S;31;False;1486742625889
key_down;83;S;31;False;1486742625922
key_down;83;S;31;False;1486742625954
key_up;83;S;31;False;1486742625977
key_down;65;A;30;False;1486742627752
key_down;65;A;30;False;1486742628253
key_down;65;A;30;False;1486742628286
key_down;65;A;30;False;1486742628319
key_down;65;A;30;False;1486742628352
key_down;65;A;30;False;1486742628385
key_down;65;A;30;False;1486742628418
key_down;65;A;30;False;1486742628451
key_down;65;A;30;False;1486742628484
key_down;65;A;30;False;1486742628517
key_down;65;A;30;False;1486742628550
key_down;65;A;30;False;1486742628583
key_down;65;A;30;False;1486742628616
key_up;65;A;30;False;1486742628628
key_down;68;D;32;False;1486742629768
key_down;68;D;32;False;1486742630269
key_down;68;D;32;False;1486742630302
key_down;68;D;32;False;1486742630335
key_down;68;D;32;False;1486742630368
key_down;68;D;32;False;1486742630401
key_down;68;D;32;False;1486742630434
key_down;68;D;32;False;1486742630467
key_down;68;D;32;False;1486742630499
key_down;68;D;32;False;1486742630532
key_down;68;D;32;False;1486742630566
key_down;68;D;32;False;1486742630599
key_down;68;D;32;False;1486742630631
key_down;68;D;32;False;1486742630664
key_up;68;D;32;False;1486742630697
key_down;83;S;31;False;1486742631272
key_down;83;S;31;False;1486742631773
key_down;83;S;31;False;1486742631806
key_down;83;S;31;False;1486742631839
key_down;83;S;31;False;1486742631872
key_down;83;S;31;False;1486742631905
key_down;83;S;31;False;1486742631938
key_down;83;S;31;False;1486742631971
key_down;83;S;31;False;1486742632004
key_down;83;S;31;False;1486742632037
key_down;83;S;31;False;1486742632070
key_down;83;S;31;False;1486742632103
key_up;83;S;31;False;1486742632121
key_down;83;S;31;False;1486742649064
key_down;83;S;31;False;1486742649565
key_down;83;S;31;False;1486742649598
key_down;83;S;31;False;1486742649631
key_down;83;S;31;False;1486742649664
key_down;83;S;31;False;1486742649697
key_down;83;S;31;False;1486742649730
key_down;83;S;31;False;1486742649763
key_down;83;S;31;False;1486742649796
key_down;83;S;31;False;1486742649829
key_down;83;S;31;False;1486742649861
key_down;83;S;31;False;1486742649895
key_up;83;S;31;False;1486742649913
key_down;83;S;31;False;1486742698488
key_up;83;S;31;False;1486742698809
key_down;83;S;31;False;1486742702408
key_up;83;S;31;False;1486742702441
key_down;65;A;30;False;1486742702520
key_down;65;A;30;False;1486742703020
key_down;65;A;30;False;1486742703054
key_down;65;A;30;False;1486742703087
key_down;65;A;30;False;1486742703120
key_down;65;A;30;False;1486742703153
key_down;65;A;30;False;1486742703186
key_down;65;A;30;False;1486742703219
key_down;65;A;30;False;1486742703252
key_down;65;A;30;False;1486742703285
key_down;65;A;30;False;1486742703317
key_down;65;A;30;False;1486742703351
key_up;65;A;30;False;1486742703362
key_down;81;Q;16;False;1486742706473
key_up;81;Q;16;False;1486742706616
key_down;81;Q;16;False;1486742706745
key_up;81;Q;16;False;1486742706824
key_down;81;Q;16;False;1486742706937
key_up;81;Q;16;False;1486742707033
key_down;81;Q;16;False;1486742707129
key_up;81;Q;16;False;1486742707224
key_down;81;Q;16;False;1486742707320
key_up;81;Q;16;False;1486742707417
key_down;81;Q;16;False;1486742707513
key_up;81;Q;16;False;1486742707624
key_down;81;Q;16;False;1486742707705
key_up;81;Q;16;False;1486742707832
key_down;81;Q;16;False;1486742707897
key_down;81;Q;16;False;1486742708397
key_down;81;Q;16;False;1486742708430
key_down;81;Q;16;False;1486742708463
key_down;81;Q;16;False;1486742708496
key_down;81;Q;16;False;1486742708529
key_down;81;Q;16;False;1486742708562
key_down;81;Q;16;False;1486742708595
key_down;81;Q;16;False;1486742708628
key_up;81;Q;16;False;1486742708649
key_down;81;Q;16;False;1486742708745
key_up;81;Q;16;False;1486742708824
key_down;81;Q;16;False;1486742708921
key_up;81;Q;16;False;1486742709001
key_down;81;Q;16;False;1486742709097
key_up;81;Q;16;False;1486742709177
key_down;81;Q;16;False;1486742709272
key_up;81;Q;16;False;1486742709369
key_down;81;Q;16;False;1486742709449
key_up;81;Q;16;False;1486742709544
key_down;81;Q;16;False;1486742709640
key_up;81;Q;16;False;1486742709721
key_down;81;Q;16;False;1486742709816
key_up;81;Q;16;False;1486742709897
key_down;81;Q;16;False;1486742710009
key_up;81;Q;16;False;1486742710089
key_down;81;Q;16;False;1486742710184
key_up;81;Q;16;False;1486742710281
key_down;81;Q;16;False;1486742710376
key_up;81;Q;16;False;1486742710456
key_down;81;Q;16;False;1486742710568
key_up;81;Q;16;False;1486742710665
key_down;81;Q;16;False;1486742710760
key_up;81;Q;16;False;1486742710873
key_down;81;Q;16;False;1486742710953
key_up;81;Q;16;False;1486742711064
key_down;81;Q;16;False;1486742711161
key_up;81;Q;16;False;1486742711288
key_down;81;Q;16;False;1486742711417
key_up;81;Q;16;False;1486742711592
key_down;65;A;30;False;1486742712024
key_down;65;A;30;False;1486742712524
key_down;65;A;30;False;1486742712558
key_down;65;A;30;False;1486742712591
key_down;65;A;30;False;1486742712623
key_down;65;A;30;False;1486742712656
key_down;65;A;30;False;1486742712689
key_down;65;A;30;False;1486742712723
key_down;65;A;30;False;1486742712756
key_down;65;A;30;False;1486742712789
key_down;65;A;30;False;1486742712822
key_down;65;A;30;False;1486742712855
key_down;65;A;30;False;1486742712888
key_down;65;A;30;False;1486742712921
key_down;65;A;30;False;1486742712954
