event_type;key_code;key_code_readable;scan_code;alt_pressed;time
key_up;13;Return;28;False;1488638443719
key_down;91;Lwin;91;False;1488638454086
key_up;91;Lwin;91;False;1488638454134
key_down;81;Q;16;False;1488638823126
key_up;81;Q;16;False;1488638823191
key_down;87;W;17;False;1488638823654
key_up;87;W;17;False;1488638823751
key_down;83;S;31;False;1488638836582
key_up;83;S;31;False;1488638836742
key_down;65;A;30;False;1488638842630
key_up;65;A;30;False;1488638842774
key_down;68;D;32;False;1488638844342
key_up;68;D;32;False;1488638844662
key_down;65;A;30;False;1488638846150
key_up;65;A;30;False;1488638846438
key_down;83;S;31;False;1488638860278
key_up;83;S;31;False;1488638860710
key_down;65;A;30;False;1488638862758
key_up;65;A;30;False;1488638863190
key_down;68;D;32;False;1488638864631
key_up;68;D;32;False;1488638864983
key_down;83;S;31;False;1488638866118
key_up;83;S;31;False;1488638866375
key_down;83;S;31;False;1488638883031
key_up;83;S;31;False;1488638883478
key_down;68;D;32;False;1488638899655
key_up;68;D;32;False;1488638899782
key_down;65;A;30;False;1488638899794
key_up;65;A;30;False;1488638900198
key_down;87;W;17;False;1488638903447
key_up;87;W;17;False;1488638903494
key_down;65;A;30;False;1488638903559
key_up;65;A;30;False;1488638903655
key_down;87;W;17;False;1488638903767
key_up;87;W;17;False;1488638903782
key_down;81;Q;16;False;1488638903879
key_up;81;Q;16;False;1488638903991
key_down;81;Q;16;False;1488638904071
key_up;81;Q;16;False;1488638904150
key_down;81;Q;16;False;1488638904246
key_up;81;Q;16;False;1488638904311
key_down;81;Q;16;False;1488638904407
key_up;81;Q;16;False;1488638904486
key_down;81;Q;16;False;1488638904583
key_up;81;Q;16;False;1488638904663
key_down;81;Q;16;False;1488638904742
key_up;81;Q;16;False;1488638904839
key_down;81;Q;16;False;1488638904919
key_up;81;Q;16;False;1488638905015
key_down;81;Q;16;False;1488638905094
key_up;81;Q;16;False;1488638905175
key_down;81;Q;16;False;1488638905254
key_up;81;Q;16;False;1488638905335
key_down;81;Q;16;False;1488638905415
key_up;81;Q;16;False;1488638905510
key_down;81;Q;16;False;1488638905591
key_up;81;Q;16;False;1488638905687
key_down;81;Q;16;False;1488638905766
key_up;81;Q;16;False;1488638905862
key_down;81;Q;16;False;1488638905942
key_up;81;Q;16;False;1488638906038
key_down;81;Q;16;False;1488638906118
key_up;81;Q;16;False;1488638906199
key_down;81;Q;16;False;1488638906295
key_up;81;Q;16;False;1488638906375
key_down;81;Q;16;False;1488638906471
key_up;81;Q;16;False;1488638906566
key_down;81;Q;16;False;1488638906647
key_up;81;Q;16;False;1488638906743
key_down;65;A;30;False;1488638907511
key_up;65;A;30;False;1488638907687
key_down;81;Q;16;False;1488639099399
key_up;81;Q;16;False;1488639099494
key_down;81;Q;16;False;1488639099607
key_up;81;Q;16;False;1488639099687
key_down;81;Q;16;False;1488639099799
key_up;81;Q;16;False;1488639099863
key_down;81;Q;16;False;1488639102983
key_up;81;Q;16;False;1488639103111
key_down;81;Q;16;False;1488639103223
key_up;81;Q;16;False;1488639103303
key_down;81;Q;16;False;1488639103431
key_up;81;Q;16;False;1488639103495
key_down;81;Q;16;False;1488639104183
key_up;81;Q;16;False;1488639104279
key_down;81;Q;16;False;1488639104375
key_up;81;Q;16;False;1488639104454
key_down;81;Q;16;False;1488639104535
key_up;81;Q;16;False;1488639104614
key_down;81;Q;16;False;1488639104695
key_up;81;Q;16;False;1488639104775
key_down;81;Q;16;False;1488639104855
key_up;81;Q;16;False;1488639104934
key_down;81;Q;16;False;1488639105014
key_up;81;Q;16;False;1488639105095
key_down;81;Q;16;False;1488639105175
key_up;81;Q;16;False;1488639105239
key_down;81;Q;16;False;1488639105335
key_up;81;Q;16;False;1488639105415
key_down;81;Q;16;False;1488639105495
key_up;81;Q;16;False;1488639105575
key_down;81;Q;16;False;1488639105654
key_up;81;Q;16;False;1488639105751
key_down;81;Q;16;False;1488639105815
key_up;81;Q;16;False;1488639105894
key_down;81;Q;16;False;1488639105991
key_up;81;Q;16;False;1488639106071
key_down;81;Q;16;False;1488639106151
key_up;81;Q;16;False;1488639106246
key_down;81;Q;16;False;1488639106327
key_up;81;Q;16;False;1488639106407
key_down;81;Q;16;False;1488639106487
key_up;81;Q;16;False;1488639106567
key_down;81;Q;16;False;1488639106663
key_up;81;Q;16;False;1488639106743
key_down;81;Q;16;False;1488639106839
key_up;81;Q;16;False;1488639106935
key_down;81;Q;16;False;1488639107014
key_up;81;Q;16;False;1488639107095
key_down;81;Q;16;False;1488639107191
key_up;81;Q;16;False;1488639107271
key_down;81;Q;16;False;1488639107351
key_up;81;Q;16;False;1488639107431
key_down;81;Q;16;False;1488639107527
key_up;81;Q;16;False;1488639107607
key_down;81;Q;16;False;1488639107703
key_up;81;Q;16;False;1488639107783
key_down;81;Q;16;False;1488639107878
key_up;81;Q;16;False;1488639107959
key_down;81;Q;16;False;1488639108055
key_up;81;Q;16;False;1488639108134
key_down;81;Q;16;False;1488639108214
key_up;81;Q;16;False;1488639108311
key_down;81;Q;16;False;1488639108407
key_up;81;Q;16;False;1488639108487
key_down;81;Q;16;False;1488639108582
key_up;81;Q;16;False;1488639108663
key_down;81;Q;16;False;1488639108759
key_up;81;Q;16;False;1488639108854
key_down;81;Q;16;False;1488639108935
key_up;81;Q;16;False;1488639109031
key_down;81;Q;16;False;1488639109127
key_up;81;Q;16;False;1488639109222
key_down;81;Q;16;False;1488639109319
key_up;81;Q;16;False;1488639109399
key_down;81;Q;16;False;1488639109494
key_up;81;Q;16;False;1488639109590
key_down;81;Q;16;False;1488639109671
key_up;81;Q;16;False;1488639109767
key_down;81;Q;16;False;1488639109863
key_up;81;Q;16;False;1488639109958
key_down;81;Q;16;False;1488639110055
key_up;81;Q;16;False;1488639110135
key_down;81;Q;16;False;1488639110231
key_up;81;Q;16;False;1488639110310
key_down;81;Q;16;False;1488639110407
key_up;81;Q;16;False;1488639110502
key_down;81;Q;16;False;1488639110583
key_up;81;Q;16;False;1488639110663
key_down;81;Q;16;False;1488639110758
key_up;81;Q;16;False;1488639110839
key_down;81;Q;16;False;1488639110950
key_up;81;Q;16;False;1488639111031
key_down;81;Q;16;False;1488639111127
key_up;81;Q;16;False;1488639111207
key_down;81;Q;16;False;1488639111319
key_up;81;Q;16;False;1488639111399
key_down;81;Q;16;False;1488639111495
key_up;81;Q;16;False;1488639111607
key_down;81;Q;16;False;1488639111671
key_up;81;Q;16;False;1488639111767
key_down;81;Q;16;False;1488639112007
key_down;65;A;30;False;1488639112020
key_up;81;Q;16;False;1488639112039
key_up;65;A;30;False;1488639112051
key_down;81;Q;16;False;1488639112295
