event_type;key_code;key_code_readable;scan_code;alt_pressed;time
key_up;13;Return;28;False;1486307577125
key_down;32;Space;57;False;1486307627429
key_up;32;Space;57;False;1486307627484
key_down;32;Space;57;False;1486307637517
key_up;32;Space;57;False;1486307637597
key_down;83;S;31;False;1486307717989
key_up;83;S;31;False;1486307718189
key_down;32;Space;57;False;1486307719229
key_up;32;Space;57;False;1486307719341
key_down;32;Space;57;False;1486307719621
key_up;32;Space;57;False;1486307719733
key_down;112;F1;59;False;1486307720317
key_up;112;F1;59;False;1486307720364
key_down;27;Escape;1;False;1486307720493
key_up;27;Escape;1;False;1486307720661
key_down;83;S;31;False;1486308706782
key_up;83;S;31;False;1486308706910
key_down;83;S;31;False;1486308706974
key_up;83;S;31;False;1486308707094
key_down;83;S;31;False;1486308707158
key_up;83;S;31;False;1486308707246
key_down;83;S;31;False;1486308707302
key_up;83;S;31;False;1486308707398
key_down;83;S;31;False;1486308707454
key_up;83;S;31;False;1486308707566
key_down;83;S;31;False;1486308707694
key_up;83;S;31;False;1486308707822
key_down;81;Q;16;False;1486308712126
key_up;81;Q;16;False;1486308712238
key_down;81;Q;16;False;1486308712302
key_up;81;Q;16;False;1486308712398
key_down;81;Q;16;False;1486308712478
key_up;81;Q;16;False;1486308712558
key_down;81;Q;16;False;1486308712614
key_up;81;Q;16;False;1486308712686
key_down;81;Q;16;False;1486308712758
key_up;81;Q;16;False;1486308712822
key_down;81;Q;16;False;1486308712934
key_up;81;Q;16;False;1486308712990
key_down;81;Q;16;False;1486308713038
key_up;81;Q;16;False;1486308713182
key_down;81;Q;16;False;1486308713262
key_up;81;Q;16;False;1486308713342
key_down;81;Q;16;False;1486308713382
key_up;81;Q;16;False;1486308713462
key_down;81;Q;16;False;1486308713510
key_up;81;Q;16;False;1486308713558
key_down;81;Q;16;False;1486308713598
key_up;81;Q;16;False;1486308713654
key_down;81;Q;16;False;1486308713702
key_up;81;Q;16;False;1486308713766
key_down;81;Q;16;False;1486308713838
key_up;81;Q;16;False;1486308713910
key_down;81;Q;16;False;1486308713958
key_up;81;Q;16;False;1486308714078
key_down;81;Q;16;False;1486308714142
key_up;81;Q;16;False;1486308714294
key_down;81;Q;16;False;1486308714334
key_up;81;Q;16;False;1486308714390
key_down;81;Q;16;False;1486308714454
key_up;81;Q;16;False;1486308714510
key_down;81;Q;16;False;1486308714590
key_up;81;Q;16;False;1486308714646
key_down;81;Q;16;False;1486308714726
key_up;81;Q;16;False;1486308714798
key_down;81;Q;16;False;1486308714870
key_up;81;Q;16;False;1486308714942
key_down;81;Q;16;False;1486308715022
key_up;81;Q;16;False;1486308715086
key_down;81;Q;16;False;1486308715174
key_up;81;Q;16;False;1486308715230
key_down;81;Q;16;False;1486308715350
key_up;81;Q;16;False;1486308715390
key_down;81;Q;16;False;1486308715478
key_up;81;Q;16;False;1486308715550
key_down;81;Q;16;False;1486308715638
key_up;81;Q;16;False;1486308715718
key_down;81;Q;16;False;1486308715790
key_up;81;Q;16;False;1486308715854
key_down;81;Q;16;False;1486308715934
key_up;81;Q;16;False;1486308715998
key_down;81;Q;16;False;1486308716078
key_up;81;Q;16;False;1486308716134
key_down;81;Q;16;False;1486308716190
key_up;81;Q;16;False;1486308716270
key_down;81;Q;16;False;1486308716302
key_up;81;Q;16;False;1486308716366
key_down;81;Q;16;False;1486308716398
key_up;81;Q;16;False;1486308716454
key_down;81;Q;16;False;1486308716510
key_up;81;Q;16;False;1486308716598
key_down;81;Q;16;False;1486308716654
key_up;81;Q;16;False;1486308716726
key_down;81;Q;16;False;1486308716806
key_up;81;Q;16;False;1486308716854
key_down;68;D;32;False;1486309300479
key_down;68;D;32;False;1486309300979
key_down;68;D;32;False;1486309301012
key_up;68;D;32;False;1486309301038
key_down;87;W;17;False;1486309301214
key_down;87;W;17;False;1486309301715
key_down;87;W;17;False;1486309301748
key_down;87;W;17;False;1486309301780
key_down;87;W;17;False;1486309301813
key_down;87;W;17;False;1486309301846
key_down;87;W;17;False;1486309301880
key_down;87;W;17;False;1486309301913
key_down;87;W;17;False;1486309301946
key_down;87;W;17;False;1486309301978
key_down;87;W;17;False;1486309302011
key_down;87;W;17;False;1486309302045
key_down;87;W;17;False;1486309302078
key_down;68;D;32;False;1486309302087
key_up;68;D;32;False;1486309302182
key_down;68;D;32;False;1486309304727
key_up;68;D;32;False;1486309304927
key_down;68;D;32;False;1486309305966
key_up;68;D;32;False;1486309306047
key_up;87;W;17;False;1486309313494
key_down;68;D;32;False;1486309442730
key_up;68;D;32;False;1486309442871
key_down;68;D;32;False;1486309443303
key_up;68;D;32;False;1486309443527
key_down;87;W;17;False;1486309443743
key_up;87;W;17;False;1486309443871
key_down;68;D;32;False;1486309558719
key_up;68;D;32;False;1486309558807
key_down;68;D;32;False;1486309679503
key_up;68;D;32;False;1486309679687
key_down;83;S;31;False;1486309681319
key_up;83;S;31;False;1486309681375
key_down;68;D;32;False;1486309682911
key_up;68;D;32;False;1486309683103
key_down;83;S;31;False;1486309683847
key_up;83;S;31;False;1486309684023
key_down;83;S;31;False;1486309685383
key_up;83;S;31;False;1486309685591
key_down;68;D;32;False;1486309686879
key_up;68;D;32;False;1486309687055
key_down;87;W;17;False;1486309688015
key_up;87;W;17;False;1486309688167
key_down;87;W;17;False;1486309689271
key_up;87;W;17;False;1486309689423
key_down;87;W;17;False;1486309690087
key_up;87;W;17;False;1486309690303
key_down;87;W;17;False;1486309691607
key_up;87;W;17;False;1486309691791
key_down;87;W;17;False;1486309692375
key_up;87;W;17;False;1486309692519
key_down;87;W;17;False;1486310463944
key_up;87;W;17;False;1486310464088
key_down;65;A;30;False;1486310465569
key_up;65;A;30;False;1486310465832
key_down;65;A;30;False;1486310466688
key_down;65;A;30;False;1486310467188
key_down;65;A;30;False;1486310467221
key_up;65;A;30;False;1486310467240
key_down;87;W;17;False;1486310467320
key_up;87;W;17;False;1486310467344
key_down;65;A;30;False;1486310467472
key_down;65;A;30;False;1486310467972
key_down;65;A;30;False;1486310468005
key_up;65;A;30;False;1486310468024
key_down;87;W;17;False;1486310468296
key_down;87;W;17;False;1486310468796
key_down;87;W;17;False;1486310468829
key_down;87;W;17;False;1486310468862
key_up;87;W;17;False;1486310468875
key_down;87;W;17;False;1486310469016
key_down;87;W;17;False;1486310469516
key_down;87;W;17;False;1486310469549
key_down;87;W;17;False;1486310469582
key_down;87;W;17;False;1486310469615
key_down;87;W;17;False;1486310469648
key_down;87;W;17;False;1486310469681
key_down;87;W;17;False;1486310469714
key_down;87;W;17;False;1486310469747
key_up;87;W;17;False;1486310469776
key_down;65;A;30;False;1486310470224
key_up;65;A;30;False;1486310470344
key_down;87;W;17;False;1486310471160
key_down;87;W;17;False;1486310471660
key_down;87;W;17;False;1486310471693
key_down;87;W;17;False;1486310471726
key_down;87;W;17;False;1486310471759
key_down;87;W;17;False;1486310471792
key_down;87;W;17;False;1486310471825
key_down;87;W;17;False;1486310471858
key_down;87;W;17;False;1486310471892
key_down;87;W;17;False;1486310471924
key_down;87;W;17;False;1486310471957
key_down;87;W;17;False;1486310471990
key_down;87;W;17;False;1486310472023
key_down;87;W;17;False;1486310472056
key_down;87;W;17;False;1486310472090
key_down;87;W;17;False;1486310472122
key_down;87;W;17;False;1486310472156
key_down;87;W;17;False;1486310472188
key_down;87;W;17;False;1486310472222
key_down;87;W;17;False;1486310472254
key_down;87;W;17;False;1486310472287
key_down;87;W;17;False;1486310472320
key_down;87;W;17;False;1486310472353
key_down;87;W;17;False;1486310472386
key_down;87;W;17;False;1486310472419
key_down;87;W;17;False;1486310472453
key_down;87;W;17;False;1486310472486
key_down;87;W;17;False;1486310472518
key_down;87;W;17;False;1486310472551
key_down;87;W;17;False;1486310472584
key_down;87;W;17;False;1486310472617
key_down;87;W;17;False;1486310472651
key_down;87;W;17;False;1486310472683
key_down;87;W;17;False;1486310472716
key_down;87;W;17;False;1486310472749
key_down;87;W;17;False;1486310472782
key_down;87;W;17;False;1486310472815
key_down;87;W;17;False;1486310472849
key_down;87;W;17;False;1486310472881
key_down;87;W;17;False;1486310472914
key_down;87;W;17;False;1486310472947
key_down;87;W;17;False;1486310472980
key_down;87;W;17;False;1486310473014
key_down;87;W;17;False;1486310473046
key_down;87;W;17;False;1486310473079
key_down;87;W;17;False;1486310473112
key_down;87;W;17;False;1486310473145
key_down;87;W;17;False;1486310473178
key_down;87;W;17;False;1486310473212
key_down;87;W;17;False;1486310473244
key_down;87;W;17;False;1486310473277
key_down;87;W;17;False;1486310473310
key_down;87;W;17;False;1486310473343
key_down;87;W;17;False;1486310473376
key_down;87;W;17;False;1486310473409
key_down;87;W;17;False;1486310473442
key_down;87;W;17;False;1486310473475
key_down;87;W;17;False;1486310473508
key_down;87;W;17;False;1486310473541
key_down;87;W;17;False;1486310473574
key_down;87;W;17;False;1486310473607
key_down;87;W;17;False;1486310473641
key_down;87;W;17;False;1486310473673
key_down;87;W;17;False;1486310473706
key_down;87;W;17;False;1486310473739
key_down;87;W;17;False;1486310473773
key_down;87;W;17;False;1486310473805
key_up;87;W;17;False;1486310473816
key_down;68;D;32;False;1486310982168
key_down;68;D;32;False;1486310982669
key_down;68;D;32;False;1486310982702
key_down;68;D;32;False;1486310982734
key_down;68;D;32;False;1486310982768
key_down;68;D;32;False;1486310982801
key_down;68;D;32;False;1486310982834
key_down;68;D;32;False;1486310982867
key_down;68;D;32;False;1486310982900
key_down;68;D;32;False;1486310982932
key_down;68;D;32;False;1486310982966
key_down;68;D;32;False;1486310982999
key_down;68;D;32;False;1486310983032
key_down;68;D;32;False;1486310983065
key_down;68;D;32;False;1486310983098
key_down;68;D;32;False;1486310983131
key_down;68;D;32;False;1486310983164
key_down;68;D;32;False;1486310983197
key_down;68;D;32;False;1486310983230
key_down;68;D;32;False;1486310983263
key_down;68;D;32;False;1486310983296
key_down;68;D;32;False;1486310983329
key_down;68;D;32;False;1486310983362
key_down;68;D;32;False;1486310983395
key_down;68;D;32;False;1486310983428
key_down;68;D;32;False;1486310983461
key_down;68;D;32;False;1486310983493
key_down;68;D;32;False;1486310983527
key_down;68;D;32;False;1486310983560
key_down;68;D;32;False;1486310983593
key_down;68;D;32;False;1486310983626
key_down;68;D;32;False;1486310983659
key_down;68;D;32;False;1486310983692
key_down;68;D;32;False;1486310983725
key_down;68;D;32;False;1486310983758
key_down;68;D;32;False;1486310983791
key_down;68;D;32;False;1486310983824
key_down;68;D;32;False;1486310983857
key_down;68;D;32;False;1486310983890
key_down;68;D;32;False;1486310983923
key_down;68;D;32;False;1486310983956
key_down;68;D;32;False;1486310983989
key_down;68;D;32;False;1486310984022
key_down;68;D;32;False;1486310984054
key_down;68;D;32;False;1486310984088
key_down;68;D;32;False;1486310984121
key_down;68;D;32;False;1486310984154
key_down;68;D;32;False;1486310984187
key_down;68;D;32;False;1486310984220
key_down;68;D;32;False;1486310984253
key_down;68;D;32;False;1486310984286
key_down;68;D;32;False;1486310984319
key_down;68;D;32;False;1486310984352
key_down;68;D;32;False;1486310984385
key_up;68;D;32;False;1486310984400
key_down;68;D;32;False;1486310984457
key_up;68;D;32;False;1486310984521
key_down;68;D;32;False;1486310984713
key_up;68;D;32;False;1486310984913
key_down;68;D;32;False;1486311067592
key_down;68;D;32;False;1486311068093
key_down;68;D;32;False;1486311068126
