event_type;pos_x;pos_y;time
mouse_move;2358;162;1486062346765
mouse_move;2359;162;1486062346774
mouse_move;2361;161;1486062346782
mouse_move;2368;156;1486062346790
mouse_move;2371;155;1486062346798
mouse_move;2374;153;1486062346805
mouse_move;2380;148;1486062346814
mouse_move;2381;148;1486062346974
mouse_move;2381;147;1486062346982
mouse_move;2381;143;1486062346990
mouse_move;2381;133;1486062346998
mouse_move;2382;128;1486062347006
mouse_move;2382;121;1486062347013
mouse_move;2385;102;1486062347021
mouse_move;2385;94;1486062347029
mouse_move;2385;89;1486062347038
mouse_move;2385;77;1486062347045
mouse_move;2385;75;1486062347053
mouse_move;2385;73;1486062347062
mouse_move;2385;73;1486062347094
mouse_move;2385;73;1486062347106
mouse_move;2383;74;1486062347109
mouse_move;2381;75;1486062347118
mouse_move;2376;82;1486062347126
mouse_move;2372;85;1486062347133
mouse_move;2368;91;1486062347142
mouse_move;2357;108;1486062347149
mouse_move;2354;113;1486062347157
mouse_move;2343;130;1486062347165
mouse_move;2339;136;1486062347174
mouse_move;2335;143;1486062347181
mouse_move;2319;167;1486062347189
mouse_move;2311;178;1486062347198
mouse_move;2304;188;1486062347206
mouse_move;2280;223;1486062347214
mouse_move;2269;235;1486062347222
mouse_move;2225;282;1486062347230
mouse_move;2207;301;1486062347238
mouse_move;2184;324;1486062347246
mouse_move;2122;385;1486062347254
mouse_move;2097;409;1486062347266
mouse_move;2068;436;1486062347269
mouse_move;1997;501;1486062347278
mouse_move;1968;526;1486062347285
mouse_move;1940;551;1486062347293
mouse_move;1874;610;1486062347302
mouse_move;1849;630;1486062347310
mouse_move;1829;647;1486062347317
mouse_move;1774;689;1486062347326
mouse_move;1757;702;1486062347334
mouse_move;1743;712;1486062347341
mouse_move;1700;742;1486062347349
mouse_move;1686;750;1486062347358
mouse_move;1675;757;1486062347366
mouse_move;1645;771;1486062347373
mouse_move;1635;775;1486062347382
mouse_move;1625;779;1486062347390
mouse_move;1607;787;1486062347398
mouse_move;1600;789;1486062347406
mouse_move;1590;793;1486062347413
mouse_move;1588;794;1486062347426
mouse_move;1585;796;1486062347429
mouse_move;1583;796;1486062347437
mouse_move;1582;798;1486062347445
mouse_move;1574;805;1486062347453
mouse_move;1569;809;1486062347462
mouse_move;1566;813;1486062347470
mouse_move;1554;825;1486062347477
mouse_move;1550;831;1486062347485
mouse_move;1547;836;1486062347494
mouse_move;1544;848;1486062347502
mouse_move;1544;852;1486062347510
mouse_move;1544;856;1486062347518
mouse_move;1548;869;1486062347526
mouse_move;1553;875;1486062347534
mouse_move;1558;882;1486062347542
mouse_move;1567;899;1486062347549
mouse_move;1584;926;1486062347557
mouse_move;1594;938;1486062347565
mouse_move;1603;948;1486062347574
mouse_move;1639;982;1486062347586
mouse_move;1661;999;1486062347589
mouse_move;1683;1015;1486062347598
mouse_move;1753;1059;1486062347606
mouse_move;1777;1073;1486062347613
mouse_move;1799;1079;1486062347621
mouse_move;1847;1079;1486062347629
mouse_move;1856;1079;1486062347638
mouse_move;1863;1079;1486062347645
mouse_move;1871;1079;1486062347654
mouse_move;1871;1079;1486062347662
mouse_move;1868;1079;1486062347670
mouse_move;1861;1079;1486062347678
mouse_move;1851;1079;1486062347685
mouse_move;1806;1079;1486062347693
mouse_move;1779;1079;1486062347702
mouse_move;1744;1079;1486062347709
mouse_move;1625;1077;1486062347717
mouse_move;1565;1075;1486062347726
mouse_move;1502;1069;1486062347734
mouse_move;1339;1052;1486062347746
mouse_move;1268;1044;1486062347749
mouse_move;1194;1036;1486062347758
mouse_move;1029;1024;1486062347766
mouse_move;964;1022;1486062347774
mouse_move;904;1020;1486062347781
mouse_move;782;1017;1486062347790
mouse_move;744;1017;1486062347798
mouse_move;717;1018;1486062347806
mouse_move;659;1022;1486062347814
mouse_move;648;1024;1486062347822
mouse_move;631;1029;1486062347830
mouse_move;627;1031;1486062347838
mouse_move;625;1032;1486062347845
mouse_move;625;1038;1486062347853
mouse_move;627;1043;1486062347862
mouse_move;632;1048;1486062347870
mouse_move;655;1062;1486062347877
mouse_move;670;1068;1486062347886
mouse_move;689;1075;1486062347894
mouse_move;767;1079;1486062347916
mouse_move;841;1079;1486062347917
mouse_move;941;1079;1486062347925
mouse_move;982;1079;1486062347934
mouse_move;1093;1079;1486062347942
mouse_move;1136;1079;1486062347949
mouse_move;1180;1078;1486062347957
mouse_move;1289;1069;1486062347965
mouse_move;1328;1064;1486062347974
mouse_move;1365;1057;1486062347982
mouse_move;1446;1037;1486062347990
mouse_move;1470;1031;1486062347998
mouse_move;1489;1027;1486062348006
mouse_move;1522;1017;1486062348014
mouse_move;1527;1015;1486062348022
mouse_move;1527;1013;1486062348030
mouse_move;1525;1011;1486062348038
mouse_move;1520;1010;1486062348046
mouse_move;1512;1008;1486062348054
mouse_move;1507;1007;1486062348062
mouse_move;1480;1004;1486062348074
mouse_move;1467;1004;1486062348078
mouse_move;1418;1003;1486062348086
mouse_move;1394;1003;1486062348094
mouse_move;1367;1003;1486062348102
mouse_move;1287;1008;1486062348109
mouse_move;1259;1011;1486062348118
mouse_move;1230;1016;1486062348126
mouse_move;1156;1029;1486062348134
mouse_move;1132;1033;1486062348142
mouse_move;1111;1038;1486062348150
mouse_move;1054;1054;1486062348157
mouse_move;1038;1058;1486062348165
mouse_move;1025;1061;1486062348174
mouse_move;995;1070;1486062348182
mouse_move;985;1073;1486062348190
mouse_move;978;1076;1486062348198
mouse_move;968;1079;1486062348262
mouse_move;968;1079;1486062348278
mouse_move;969;1079;1486062348286
mouse_move;971;1078;1486062348298
mouse_move;973;1078;1486062348301
mouse_move;979;1075;1486062348310
mouse_move;980;1074;1486062348317
mouse_move;982;1073;1486062348325
mouse_move;983;1071;1486062348342
mouse_move;983;1070;1486062348350
mouse_move;983;1068;1486062348358
mouse_move;982;1068;1486062348366
mouse_move;982;1068;1486062348374
mouse_move;979;1067;1486062348382
mouse_move;978;1066;1486062348390
mouse_move;975;1065;1486062348398
mouse_move;972;1065;1486062348406
mouse_move;970;1064;1486062348413
mouse_move;968;1064;1486062348422
mouse_move;961;1064;1486062348430
mouse_move;958;1064;1486062348438
mouse_move;954;1064;1486062348445
mouse_move;952;1065;1486062348598
mouse_move;952;1065;1486062348613
mouse_move;952;1065;1486062348638
mouse_down_left;952;1065;1486062348757
mouse_move;952;1065;1486062349109
mouse_move;952;1064;1486062349117
mouse_move;952;1063;1486062349125
mouse_move;953;1063;1486062349134
mouse_move;954;1062;1486062349142
mouse_move;955;1062;1486062349149
mouse_move;958;1060;1486062349157
mouse_move;960;1059;1486062349165
mouse_move;961;1058;1486062349173
mouse_move;967;1053;1486062349181
mouse_move;970;1050;1486062349189
mouse_move;976;1043;1486062349198
mouse_move;980;1040;1486062349206
mouse_move;989;1025;1486062349213
mouse_move;992;1015;1486062349222
mouse_move;994;1004;1486062349230
mouse_move;997;966;1486062349238
mouse_move;997;947;1486062349251
mouse_move;997;922;1486062349254
mouse_move;986;839;1486062349262
mouse_move;981;803;1486062349270
mouse_move;975;766;1486062349278
mouse_move;953;672;1486062349285
mouse_move;942;634;1486062349293
mouse_move;931;596;1486062349301
mouse_move;898;504;1486062349310
mouse_move;883;468;1486062349317
mouse_move;869;436;1486062349325
mouse_move;830;362;1486062349334
mouse_move;813;337;1486062349342
mouse_move;774;285;1486062349349
mouse_move;763;273;1486062349358
mouse_move;754;264;1486062349366
mouse_move;732;246;1486062349373
mouse_move;728;242;1486062349382
mouse_move;724;239;1486062349390
mouse_move;724;239;1486062349406
mouse_move;723;239;1486062349418
mouse_move;721;242;1486062349421
mouse_move;721;244;1486062349429
mouse_move;718;252;1486062349438
mouse_move;716;259;1486062349445
mouse_move;715;266;1486062349453
mouse_move;709;291;1486062349462
mouse_move;705;315;1486062349470
mouse_move;703;323;1486062349478
mouse_move;702;334;1486062349486
mouse_move;697;359;1486062349494
mouse_move;695;369;1486062349502
mouse_move;694;378;1486062349510
mouse_move;692;393;1486062349518
mouse_move;692;399;1486062349526
mouse_move;691;404;1486062349533
mouse_move;690;416;1486062349542
mouse_move;690;422;1486062349550
mouse_move;690;428;1486062349558
mouse_move;692;453;1486062349566
mouse_move;695;465;1486062349583
mouse_move;710;520;1486062349590
mouse_move;715;540;1486062349597
mouse_move;733;591;1486062349606
mouse_move;738;611;1486062349614
mouse_move;744;627;1486062349622
mouse_move;761;674;1486062349630
mouse_move;766;686;1486062349637
mouse_move;769;698;1486062349645
mouse_move;780;734;1486062349654
mouse_move;783;745;1486062349662
mouse_move;786;756;1486062349670
mouse_move;793;776;1486062349677
mouse_move;794;780;1486062349685
mouse_move;795;783;1486062349838
mouse_move;795;783;1486062349845
mouse_move;796;785;1486062349853
mouse_move;797;787;1486062349861
mouse_move;798;789;1486062349870
mouse_move;803;795;1486062349877
mouse_move;805;799;1486062349890
mouse_move;808;801;1486062349894
mouse_move;814;806;1486062349902
mouse_move;815;808;1486062349910
mouse_move;817;809;1486062349918
mouse_move;822;811;1486062349926
mouse_move;822;812;1486062349934
mouse_move;824;813;1486062349942
mouse_move;825;815;1486062349950
mouse_move;827;816;1486062349958
mouse_move;830;821;1486062349966
mouse_move;832;823;1486062349973
mouse_move;834;825;1486062349981
mouse_move;838;830;1486062349989
mouse_move;840;831;1486062349998
mouse_move;841;833;1486062350006
mouse_move;843;834;1486062350013
mouse_move;844;835;1486062350094
mouse_move;845;836;1486062350102
mouse_move;845;836;1486062350110
mouse_move;845;837;1486062350121
mouse_move;846;838;1486062350125
mouse_move;846;839;1486062350134
mouse_move;848;840;1486062350142
mouse_move;850;843;1486062350150
mouse_move;852;846;1486062350158
mouse_move;853;847;1486062350165
mouse_move;857;852;1486062350173
mouse_move;858;855;1486062350181
mouse_move;860;859;1486062350190
mouse_move;864;869;1486062350198
mouse_move;867;873;1486062350205
